| end of split  55 /500 | epoch   1 | time: 13.21s | valid loss 1.4661 | valid ppl 4.3323 | learning rate 5.0000
| end of split  56 /500 | epoch   1 | time: 12.95s | valid loss 1.4705 | valid ppl 4.3514 | learning rate 5.0000
| end of split  57 /500 | epoch   1 | time: 13.05s | valid loss 1.4534 | valid ppl 4.2777 | learning rate 5.0000
| end of split  58 /500 | epoch   1 | time: 12.82s | valid loss 1.4479 | valid ppl 4.2541 | learning rate 5.0000
| end of split  59 /500 | epoch   1 | time: 12.89s | valid loss 1.4442 | valid ppl 4.2383 | learning rate 5.0000
| end of split  60 /500 | epoch   1 | time: 12.83s | valid loss 1.4499 | valid ppl 4.2629 | learning rate 5.0000
| end of split  61 /500 | epoch   1 | time: 12.94s | valid loss 1.4372 | valid ppl 4.2088 | learning rate 5.0000
| end of split  62 /500 | epoch   1 | time: 14.10s | valid loss 1.4361 | valid ppl 4.2044 | learning rate 5.0000
| end of split  63 /500 | epoch   1 | time: 15.21s | valid loss 1.4467 | valid ppl 4.2492 | learning rate 5.0000
| end of split  64 /500 | epoch   1 | time: 15.04s | valid loss 1.4756 | valid ppl 4.3737 | learning rate 5.0000
| end of split  65 /500 | epoch   1 | time: 15.27s | valid loss 1.4306 | valid ppl 4.1810 | learning rate 5.0000
| end of split  66 /500 | epoch   1 | time: 15.22s | valid loss 1.4372 | valid ppl 4.2090 | learning rate 5.0000
| end of split  67 /500 | epoch   1 | time: 15.13s | valid loss 1.4424 | valid ppl 4.2310 | learning rate 5.0000
| end of split  68 /500 | epoch   1 | time: 14.99s | valid loss 1.4178 | valid ppl 4.1282 | learning rate 5.0000
| end of split  69 /500 | epoch   1 | time: 15.00s | valid loss 1.4271 | valid ppl 4.1666 | learning rate 5.0000
| end of split  70 /500 | epoch   1 | time: 15.53s | valid loss 1.4069 | valid ppl 4.0832 | learning rate 5.0000
| end of split  71 /500 | epoch   1 | time: 15.26s | valid loss 1.4175 | valid ppl 4.1266 | learning rate 5.0000
| end of split  72 /500 | epoch   1 | time: 15.71s | valid loss 1.4117 | valid ppl 4.1029 | learning rate 5.0000
| end of split  73 /500 | epoch   1 | time: 15.03s | valid loss 1.4294 | valid ppl 4.1761 | learning rate 5.0000
| end of split  74 /500 | epoch   1 | time: 15.19s | valid loss 1.4269 | valid ppl 4.1660 | learning rate 5.0000
| end of split  75 /500 | epoch   1 | time: 15.16s | valid loss 1.4185 | valid ppl 4.1311 | learning rate 5.0000
